the_year,series,cpu_name,PercSalesWRTTotalSeriesSales
2013,Amd A-Series,Amd A10-5800K,.454882069202804
2013,Amd Athlon,Amd Athlon 64 X2 6000+,.809490340205092
2013,Amd Fx,Amd Fx-9590,1.212564221542205
2013,Amd Opteron,Amd Opteron 6282 Se,.980992069036267
2013,Amd Phenom,Amd Phenom Ii X4 840,7.807365281171102
2013,Amd Sempron,Amd Sempron 64 Le-1100,2.787188117496167
2013,Intel Celeron,Intel Celeron E3400,.626908013102662
2013,Intel Core 2 Duo,Intel Core 2 Duo T9600,4.508341419379019
2013,Intel Core 2 Extreme,Intel Core 2 Qx6700,10.359507127111220
2013,Intel Core 2 Quad,Intel Core 2 Quad Q9650,4.421093848284475
2013,Intel Core Duo,Intel Core Duo T2600,17.438576217198193
2013,Intel Core I3,Intel Core I3-3240T,.252617330760449
2013,Intel Core I5,Intel Core I5-560M,.181588070661651
2013,Intel Core I7,Intel Core I7-990X,.407232219477585
2013,Intel Pentium,Intel Pentium G6950,.328061203636259
2013,Intel Xeon,Intel Xeon E7-4870,.142183143847937
2014,Amd A-Series,Amd A10-7850K,.823672836623607
2014,Amd Athlon,Amd Athlon X4 760K,1.302421903123752
2014,Amd Fx,Amd Fx-9590,1.176214012422375
2014,Amd Opteron,Amd Opteron 6282 Se,1.303850915417854
2014,Amd Phenom,Amd Phenom Ii X4 840,10.204175671239663
2014,Amd Sempron,Amd Sempron 3850,3.985276846486771
2014,Intel Celeron,Intel Celeron G1830,.880117754095291
2014,Intel Core 2 Duo,Intel Core 2 Duo T9600,5.765039099788489
2014,Intel Core 2 Extreme,Intel Core 2 Qx6700,13.695623583844221
2014,Intel Core 2 Quad,Intel Core 2 Quad Q9650,5.847746337935088
2014,Intel Core Duo,Intel Core Duo T2600,19.722819817114133
2014,Intel Core I3,Intel Core I3-4340,.363713178518733
2014,Intel Core I5,Intel Core I5-2500,.236997510216816
2014,Intel Core I7,Intel Core I7-990X,.527679211894885
2014,Intel Pentium,Intel Pentium G6950,.433257245080304
2014,Intel Xeon,Intel Xeon E7-4870,.181600415288353
2015,Amd A-Series,Amd A10-7800,.834069616164274
2015,Amd Athlon,Amd Athlon X4 860K,1.312536684129028
2015,Amd Fx,Amd Fx-9590,1.572607373940423
2015,Amd Opteron,Amd Opteron 6380,1.513024875615468
2015,Amd Phenom,Amd Phenom Ii X4 840,8.547416682439134
2015,Amd Sempron,Amd Sempron 3850,6.883479771428776
2015,Amd Turion,Amd Turion 64 X2 Tl-50,1.183647559744948
2015,Intel Celeron,Intel Celeron G540,1.149427237015866
2015,Intel Core 2 Duo,Intel Core 2 Duo T9600,4.396887873923335
2015,Intel Core 2 Extreme,Intel Core 2 Qx6700,11.629454836891496
